chrom	start	end	name	strand	Jurkat_DMSO_H3K4me3	Jurkat_OCIR_H3K4me3	Jurkat_PM_H3K4me3	Jurkat_RY_H3K4me3	Jurkat_DMSO_24H_H3K4me3	Jurkat_PBIT_5H_H3K4me3	Jurkat_PBIT_24H_H3K4me3	Loucy_DMSO_24H_H3K4me3	Loucy_PBIT_5H_H3K4me3	Loucy_PBIT_24H_H3K4me3
chr1	1240433	1245672	Jurkat_peak_56	.	12.37849	9.101411	5.3604519999999996	5.8566650000000005	4.010463	18.285557999999998	16.328893	1.242113	1.325995	1.207918
chr1	1819692	1824249	Jurkat_peak_114	.	11.48015	8.866161	4.9332600000000015	5.696765	3.910503	19.714261999999998	16.82219	1.351104	1.400392	1.2944229999999999
chr1	6050221	6055614	Jurkat_peak_233	.	9.643661999999999	7.471042999999999	4.589156	4.971922	3.3948410000000004	13.562797	12.174068	1.264965	1.286652	1.208619
chr1	8934800	8940723	Jurkat_peak_340	.	9.031989	7.416136999999999	5.250035	5.323962	3.3348519999999997	15.895723	14.191754000000001	1.405881	1.461748	1.287898
chr1	15850036	15854495	Jurkat_peak_610	.	9.629783999999999	7.7024539999999995	5.305892	5.818127	3.7847800000000005	16.334381	14.536361	1.2423879999999998	1.27191	1.201531
chr1	17763142	17767284	Jurkat_peak_709	.	10.612105	8.612433	5.528036	6.342219	3.9135989999999996	19.84378	17.331945	1.395528	1.470805	1.247744
chr1	27018508	27026340	Jurkat_peak_1118	.	9.380545	7.1991309999999995	4.66464	5.199791	3.309582	14.872935	13.58504	1.357581	1.416009	1.299316
chr1	27112236	27116386	Jurkat_peak_1125	.	7.2672229999999995	6.23799	4.575817	4.9012199999999995	3.006681	11.892417	11.094744	1.290912	1.39847	1.258269
chr1	28831397	28837000	Jurkat_peak_1239	.	7.327175	6.56791	6.004412	6.394769	3.752407	18.988259	16.626967999999998	1.383737	1.400993	1.339197
chr1	32395851	32405805	Jurkat_peak_1362	.	3.965289	3.2479009999999997	2.981675	2.7816389999999998	1.964593	6.2555760000000005	5.885119	1.186221	1.210756	1.216334
chr1	32715257	32719473	Jurkat_peak_1390	.	2.9197420000000003	2.670096	2.409608	1.997675	1.5006270000000002	2.7738370000000003	2.953191	1.209465	1.221043	1.191657
chr1	32737831	32742269	Jurkat_peak_1395	.	6.942711999999999	5.780406	3.9009970000000003	4.1374499999999985	2.74125	10.426397	9.997436	1.0987870000000002	1.12432	1.135024
chr1	33280956	33285333	Jurkat_peak_1429	.	11.136952	9.063759	6.460044	6.93498	4.507835	22.138354999999997	19.576901	1.416021	1.4686139999999999	1.355445
chr1	38154932	38159541	Jurkat_peak_1567	.	11.189766	9.324333	5.967333999999999	6.560204	4.164912	18.487182	16.707306000000006	1.3326209999999998	1.375713	1.279898
chr1	42381474	42386136	Jurkat_peak_1777	.	4.635551	3.9292540000000002	3.332068	3.736733	2.188574	6.8279119999999995	7.063874	1.1792719999999999	1.209182	1.1907290000000001
chr1	43146441	43150640	Jurkat_peak_1811	.	9.199910000000001	7.450872	5.467262	6.099593	3.738857	18.592568	17.002369	1.328934	1.453562	1.287402
chr1	46150078	46155243	Jurkat_peak_1946	.	8.893417999999999	8.094811	6.347878	7.045672	4.248005	20.8941	18.312557	1.365504	1.438805	1.315821
