chrom	start	end	name	strand	Jurkat_DMSO_H3K4me3	Jurkat_OCIR_H3K4me3	Jurkat_PM_H3K4me3	Jurkat_RY_H3K4me3	Jurkat_DMSO_24H_H3K4me3	Jurkat_PBIT_5H_H3K4me3	Jurkat_PBIT_24H_H3K4me3	Loucy_DMSO_24H_H3K4me3	Loucy_PBIT_5H_H3K4me3	Loucy_PBIT_24H_H3K4me3
chr1	892941	893395	Jurkat_peak_25	.	1.968975	1.7925339999999998	1.6794689999999999	1.458543	1.314168	2.114698	1.8980279999999998	1.1648129999999999	1.143245	1.214078
chr1	901953	902635	Jurkat_peak_27	.	6.219771	4.025271	3.4628419999999998	3.147959	1.8244349999999998	4.186628	4.3987989999999995	1.180647	1.110795	1.14221
chr1	955471	956437	Jurkat_peak_34	.	12.858964	8.364942999999998	5.067353	5.605821	3.3006949999999997	13.399811999999999	13.2738	1.237997	1.336232	1.183566
chr1	1147986	1149545	Jurkat_peak_49	.	2.2033970000000003	1.7662099999999998	1.658062	1.349689	1.140331	1.3462120000000002	1.420774	1.057497	1.072483	1.1331040000000001
chr1	1165968	1167515	Jurkat_peak_51	.	14.806698999999998	11.731144	7.607416000000001	8.610918999999999	5.615648	29.744734	27.194477000000003	1.4320950000000001	1.5375729999999999	1.36857
chr1	1167711	1168844	Jurkat_peak_52	.	6.694228999999999	5.933808	3.278313	3.4981449999999996	2.049181	9.207763	7.763572	1.2754809999999999	1.378153	1.22985
chr1	1283224	1284556	Jurkat_peak_59	.	14.057317000000001	10.410748	5.585933	6.541538	4.440746	20.752677	17.994993	1.253755	1.328091	1.185273
chr1	1362611	1362783	Jurkat_peak_71	.	1.353812	1.163984	1.1541569999999999	1.116723	1.067122	1.231026	1.199159	1.024592	1.0126700000000002	1.0941290000000001
chr1	1370316	1371186	Jurkat_peak_72	.	3.91744	2.807961	2.174478	2.230385	1.455132	3.128056	3.109891	1.04426	1.0544870000000002	1.091579
chr1	1405908	1407728	Jurkat_peak_74	.	6.163366000000001	4.9800179999999985	3.7229160000000006	3.810107	2.663147	11.582476	10.243232	1.279303	1.292776	1.2325780000000002
chr1	1446212	1448112	Jurkat_peak_80	.	13.203697	10.107439999999999	5.746993	7.062144	4.538583	22.902889000000002	19.513164	1.3014059999999998	1.260938	1.264504
chr1	1534598	1535405	Jurkat_peak_87	.	5.41367	4.453064	2.486242	2.7701640000000003	1.919107	6.31171	5.75208	1.01213	1.03198	1.05101
chr1	1623046	1623117	Jurkat_peak_98	.	1.3204120000000001	1.421065	1.732099	1.1367120000000002	1.512237	4.1680470000000005	3.563537	1.054326	1.097597	1.074811
chr1	1654625	1654989	Jurkat_peak_103	.	1.397972	1.218927	1.1918799999999998	1.132752	1.1683700000000001	1.78679	1.744405	1.021149	1.018499	1.0
chr1	1675996	1676056	Jurkat_peak_107	.	1.047752	1.088544	1.0	1.0	1.236418	1.404303	1.164899	1.028091	1.067743	1.045966
chr1	1849972	1850805	Jurkat_peak_117	.	11.122044	8.391138999999999	5.013964	4.844615	3.3917620000000004	11.628703999999999	11.341033	1.046051	1.085214	1.064684
chr1	2125104	2127066	Jurkat_peak_134	.	8.629987	6.417501000000001	3.8050300000000004	4.239886	2.926155	10.519644	9.622968	1.240222	1.262177	1.174928
chr1	2136708	2137682	Jurkat_peak_136	.	6.578853	4.942576	3.231434	3.3752949999999995	2.022479	5.589353	5.826412	1.0627959999999999	1.0610879999999998	1.179437
chr1	2159762	2160728	Jurkat_peak_140	.	4.2579600000000015	3.128054	2.219268	2.302771	1.668721	3.7788129999999995	3.6227690000000004	1.224609	1.270557	1.156285
chr1	2342964	2344023	Jurkat_peak_148	.	18.789759	14.514454999999998	8.056747	8.699483	5.68124	28.857805	25.777514	1.511139	1.559999	1.34854
chr1	2456222	2458631	Jurkat_peak_153	.	11.480144000000001	8.859127	5.331273	5.407058999999999	3.641232	15.947227	13.483331	1.326706	1.357575	1.308451
chr1	2461248	2461451	Jurkat_peak_154	.	1.954389	1.998529	1.585779	1.308871	1.162842	1.317028	1.374276	1.016286	1.0062719999999998	1.013083
chr1	2487076	2488705	Jurkat_peak_158	.	4.623412999999999	3.63761	2.8553599999999997	2.801996	1.7255919999999998	2.834485	2.969517	1.340684	1.37573	1.32506
chr1	2985683	2985767	Jurkat_peak_173	.	1.790643	2.431077	1.7593029999999998	1.331949	1.212204	1.669169	1.7078209999999998	1.327409	1.264968	1.0820809999999998
chr1	3371102	3371770	Jurkat_peak_175	.	8.195456	6.031244	3.941157	3.95065	2.677254	8.041792999999998	7.1321520000000005	1.180455	1.194931	1.1720270000000002
