chrom	start	end	name	strand	Jurkat_DMSO_H3K4me3	Jurkat_OCIR_H3K4me3	Jurkat_PM_H3K4me3	Jurkat_RY_H3K4me3	Jurkat_DMSO_24H_H3K4me3	Jurkat_PBIT_5H_H3K4me3	Jurkat_PBIT_24H_H3K4me3	Loucy_DMSO_24H_H3K4me3	Loucy_PBIT_5H_H3K4me3	Loucy_PBIT_24H_H3K4me3
chr1	6294466	6296851	ENSG00000116237	*	11.320715	9.029503	5.872701	6.673038	4.1986360000000005	20.836673	19.00359	1.259269	1.336627	1.193499
chr1	6760453	6762387	ENSG00000007923	*	14.891233999999999	11.191326	7.022749	7.945154	4.979214	26.994753000000003	23.163389000000002	1.355185	1.438004	1.277256
chr1	9599100	9601048	ENSG00000171612	*	13.170214000000001	10.390577	5.749621	6.7563509999999996	4.358297	22.149532999999998	19.79133	1.389055	1.378042	1.267267
chr1	11118642	11120107	ENSG00000116649	*	22.587765	16.085739	8.744137	10.273444	6.678195	35.877209	31.761491999999997	1.3878709999999999	1.460494	1.274538
chr1	17247862	17249277	ENSG00000058453	*	6.1126309999999995	4.304689	4.015924	3.59968	2.383469	5.777501	6.491375	1.2031479999999999	1.180656	1.136399
chr1	17337104	17338935	ENSG00000159363	*	13.793434	10.10779	5.615376	6.4160699999999995	4.257039	19.084244	17.212646	1.386955	1.4785030000000001	1.255671
chr1	21501824	21503833	ENSG00000075151	*	12.246253	9.296358	4.721337	6.000553	3.6737349999999998	16.722338999999998	14.321319	1.330115	1.392231	1.258415
chr1	22777830	22779660	ENSG00000184677	*	9.854080999999999	8.450623	6.356529	6.994824	4.1368529999999994	20.783359	17.114506	1.356099	1.4014010000000001	1.284389
chr1	24017791	24020416	ENSG00000142676	*	7.853166000000001	6.668964	5.566914	6.098804	3.855782	19.746536	17.259233	1.377984	1.431486	1.307274
chr1	24125720	24128280	ENSG00000117308	*	12.609649000000001	10.105061	6.3479589999999995	6.599005	4.404029	21.111452	18.517483	1.288931	1.36183	1.259354
