chrom	start	end	name	strand	Jurkat_DMSO_H3K4me3	Jurkat_OCIR_H3K4me3	Jurkat_PM_H3K4me3	Jurkat_RY_H3K4me3	Jurkat_DMSO_24H_H3K4me3	Jurkat_PBIT_5H_H3K4me3	Jurkat_PBIT_24H_H3K4me3	Loucy_DMSO_24H_H3K4me3	Loucy_PBIT_5H_H3K4me3	Loucy_PBIT_24H_H3K4me3
chr1	1819692	1824249	ENSG00000078369	*	11.48015	8.866161	4.9332600000000015	5.696765	3.910503	19.714261999999998	16.82219	1.351104	1.400392	1.2944229999999999
chr1	8934800	8940723	ENSG00000074800	*	9.031989	7.416136999999999	5.250035	5.323962	3.3348519999999997	15.895723	14.191754000000001	1.405881	1.461748	1.287898
chr1	17763142	17767284	ENSG00000179051	*	10.612105	8.612433	5.528036	6.342219	3.9135989999999996	19.84378	17.331945	1.395528	1.470805	1.247744
chr1	27018508	27026340	ENSG00000117713	*	9.380545	7.1991309999999995	4.66464	5.199791	3.309582	14.872935	13.58504	1.357581	1.416009	1.299316
chr1	27112236	27116386	ENSG00000060642	*	7.2672229999999995	6.23799	4.575817	4.9012199999999995	3.006681	11.892417	11.094744	1.290912	1.39847	1.258269
chr1	28831397	28837000	ENSG00000180198	*	7.327175	6.56791	6.004412	6.394769	3.752407	18.988259	16.626967999999998	1.383737	1.400993	1.339197
chr1	32395851	32405805	ENSG00000184007	*	3.965289	3.2479009999999997	2.981675	2.7816389999999998	1.964593	6.2555760000000005	5.885119	1.186221	1.210756	1.216334
chr1	32715257	32719473	ENSG00000182866	*	2.9197420000000003	2.670096	2.409608	1.997675	1.5006270000000002	2.7738370000000003	2.953191	1.209465	1.221043	1.191657
chr1	32737831	32742269	ENSG00000182866	*	6.942711999999999	5.780406	3.9009970000000003	4.1374499999999985	2.74125	10.426397	9.997436	1.0987870000000002	1.12432	1.135024
chr1	42381474	42386136	ENSG00000127124	*	4.635551	3.9292540000000002	3.332068	3.736733	2.188574	6.8279119999999995	7.063874	1.1792719999999999	1.209182	1.1907290000000001
chr1	43146441	43150640	ENSG00000065978	*	9.199910000000001	7.450872	5.467262	6.099593	3.738857	18.592568	17.002369	1.328934	1.453562	1.287402
chr1	46595519	46599839	ENSG00000117461	*	7.801839999999999	6.735422	5.495936	5.854508999999999	3.525935	15.264477	14.749079	1.374332	1.385833	1.319194
chr1	47688798	47699151	ENSG00000162367	*	4.3016760000000005	3.854132	2.947029	2.978934	2.011473	6.028102	6.09845	1.044075	1.06673	1.12732
chr1	51433041	51437868	ENSG00000123080	*	8.9214	7.429956	5.209669	5.873448000000001	3.530595	16.216254	14.211642000000001	1.465005	1.499982	1.348432
chr1	53790753	53795264	ENSG00000157193	*	13.582498999999999	10.409471	6.218108999999999	7.213918	4.3025400000000005	20.367663	17.395248000000002	1.317307	1.350266	1.244586
chr1	54869365	54873882	ENSG00000157216	*	8.477081	6.741747	3.9436970000000002	4.3103940000000005	3.020308	13.421142999999999	11.594941	1.294508	1.334107	1.1962409999999999
chr1	62900959	62905464	ENSG00000162607	*	10.317929	8.091384	6.009135	6.5183349999999995	4.054924	20.351128	17.707752	1.35996	1.420384	1.366829
chr1	67893227	67897799	ENSG00000142864	*	9.176587	7.927217	5.496832	6.137982	3.5518589999999994	17.666091	15.322729	1.386477	1.505809	1.326857
chr1	87793318	87798123	ENSG00000143013	*	8.705935	7.060344000000001	5.067182	5.671536	3.455106	13.687626000000002	12.819229	1.150708	1.164137	1.215537
chr1	92948704	92953434	ENSG00000162676	*	9.977528999999999	7.790108	5.085015	6.092896	3.418218	13.484773	13.42467	1.380842	1.416657	1.2959200000000002
chr1	114471109	114475996	ENSG00000163349	*	7.803411	6.659478	4.756408	5.298896	3.3317550000000002	14.454035000000001	13.273654999999998	1.2923799999999999	1.3320040000000002	1.297878
chr1	115296709	115301366	ENSG00000009307	*	5.919373	5.1493660000000006	4.536143	4.383303	2.8535939999999997	11.665788000000001	10.76348	1.272458	1.363029	1.2607709999999999
chr1	116183825	116187999	ENSG00000173218	*	7.991557000000001	6.306353	4.26657	4.764081	3.166958	13.746209	12.259744	1.264071	1.3036809999999999	1.241317
chr1	117296561	117301372	ENSG00000116824	*	1.215848	1.210313	1.413349	1.147383	1.0913700000000002	1.3897760000000001	1.3281120000000002	1.049239	1.057852	1.123791
chr1	118147752	118152965	ENSG00000183508	*	5.662648	4.89456	3.409098	3.519108	2.510659	8.098421	7.674736	1.320178	1.337602	1.277134
chr1	150335407	150339671	ENSG00000163125	*	7.176842999999999	6.65424	6.074990000000001	6.596555	3.7849180000000002	17.601876	15.809979	1.3701530000000002	1.4624620000000002	1.286003
chr1	154971432	154975992	ENSG00000160685	*	6.112121	4.754645	3.5811870000000003	3.557175	2.309957	5.822223999999999	5.898337000000001	1.2242600000000001	1.217352	1.186909
chr1	155943954	155950368	ENSG00000116584	*	7.198842999999999	6.119073	4.19025	4.088547	2.8351	11.281642999999999	10.150250999999999	1.431601	1.450573	1.3237
chr1	158322701	158328040	ENSG00000158488	*	1.151334	1.0990540000000002	1.236322	1.096831	1.041372	1.243082	1.188461	1.075159	1.081212	1.192114
chr1	158978425	158984350	ENSG00000163565	*	1.635409	1.751146	2.322064	2.145622	1.51244	3.6807160000000003	3.6253089999999997	1.282827	1.336288	1.217652
chr1	160676901	160682289	ENSG00000117091	*	1.356739	1.39808	1.629752	1.343983	1.157459	1.5380200000000002	1.533356	1.132257	1.187327	1.178926
chr1	167596834	167602434	ENSG00000198771	*	3.8330949999999997	3.4975940000000003	2.934345	2.95857	1.951988	6.266071	6.2814239999999995	1.352884	1.3514629999999999	1.2958399999999999
chr1	173834589	173840442	ENSG00000185278	*	6.294099	5.383463	4.276262	4.678105	2.844558	12.182032000000001	11.200059	1.3224120000000001	1.325289	1.292851
chr1	185284017	185288288	ENSG00000116679	*	8.312124	6.699261	4.529269	5.043337	3.24595	14.707310000000001	13.067683	1.34336	1.412871	1.2510709999999998
chr1	198125292	198129984	ENSG00000151414	*	9.248586999999999	7.796966	5.8982589999999995	6.322243	3.838404	17.438202	15.771282999999999	1.422204	1.484241	1.359056
chr1	198606612	198612235	ENSG00000081237	*	1.426954	1.624954	2.4115860000000002	2.123435	1.490584	2.807706	2.997585	1.307842	1.3666989999999999	1.284538
chr1	202126978	202132667	ENSG00000143851	*	5.543023000000001	4.337753	3.259265	3.306139	2.2574349999999996	5.9238230000000005	5.874583	1.387773	1.483762	1.328136
chr1	203594614	203599886	ENSG00000058668	*	7.480614999999999	6.164139	4.884131	4.914019000000001	3.148148	10.861129	11.015715	1.3864040000000002	1.417897	1.287876
chr1	204376467	204381789	ENSG00000158615	*	6.003635	5.12885	3.977101	3.845357	2.580734	9.247386	8.251331	1.459149	1.541087	1.3447559999999998
chr1	206729779	206734367	ENSG00000136653	*	5.185258	4.432225	3.7471089999999996	3.618094	2.463542	7.647891	7.535505000000001	1.347305	1.388112	1.278218
chr1	226248807	226253324	ENSG00000163041	*	8.686517	7.055435000000001	4.861428	5.3685529999999995	3.6080059999999996	16.709073	14.822341	1.505902	1.533385	1.413456
chr1	228268732	228273025	ENSG00000143761	*	14.844647	11.568785	6.609436	7.534231	5.00725	25.52047	22.719428	1.3710120000000001	1.441298	1.311743
chr1	228326711	228332283	ENSG00000143774	*	8.403508	6.778103	4.534179	4.607029	3.064279	12.041825	10.97063	1.226091	1.253608	1.23189
chr1	230201870	230206756	ENSG00000143641	*	8.550374	6.924144999999999	4.595863	5.0302690000000005	3.3532550000000003	15.864507999999999	14.24876	1.3085	1.3525989999999999	1.2118799999999998
